StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long,long_num,lat_num,Temp1990,Temp2020,Temp2050,Temp_Change_2020,Temp_Change_2050,Num_Above_1990,Num_Above_2020,Num_Above_2050,Num_Above_2080,Num_Above_Change_2020,Num_Above_Change_2050,Num_Above_Change_2080
NC,Greensboro,3728000,269666,36.096048041500005,-79.82768331,740,205,100.16470031738285,106.03476684570316,109.05750671386723,5.870066528320308,8.892806396484374,3.345454545454546,15.345454545454544,38.46363636363637,38.46363636363637,11.999999999999998,35.118181818181824,35.118181818181824
NY,Buffalo,3611000,261310,42.90145182329999,-78.84752373,755,313,95.71778076171879,100.0950964355469,104.35791259765628,4.377315673828122,8.640131835937495,0.12727272727272726,1.8545454545454543,7.063636363636364,7.063636363636364,1.727272727272727,6.936363636363637,6.936363636363637
TX,Plano,4858016,259841,33.0502149278,-96.74864098,469,156,108.55104797363285,110.92157897949224,114.07866516113286,2.370531005859391,5.527617187500013,41.01818181818182,64.38181818181818,94.21818181818182,94.21818181818182,23.363636363636353,53.199999999999996,53.199999999999996
NE,Lincoln,3128000,258379,40.80961956949999,-96.6806742,470,280,107.6976794433594,110.22318908691409,113.06490173339849,2.5255096435546847,5.367222290039081,13.49090909090909,26.372727272727275,48.85454545454545,48.85454545454545,12.881818181818184,35.36363636363636,35.36363636363636
NV,Henderson,3231900,257729,36.01223949159999,-115.0373922,176,203,116.44302734375003,118.88727661132816,121.31683715820316,2.4442492675781295,4.873809814453125,106.77272727272725,121.77272727272728,141.6727272727273,141.6727272727273,15.000000000000028,34.900000000000034,34.900000000000034
IN,Fort Wayne,1825000,253691,41.0884920417,-85.14358988,655,284,99.52147827148443,103.89752502441408,107.99216796875005,4.376046752929653,8.470689697265627,1.4727272727272727,9.527272727272727,25.336363636363636,25.336363636363636,8.054545454545455,23.863636363636363,23.863636363636363
NJ,Jersey City,3436000,247597,40.7188130852,-74.06877406,832,279,101.91754150390629,104.95937561035161,108.75917297363284,3.0418341064453216,6.841631469726551,2.5545454545454547,6.8090909090909095,16.354545454545452,16.354545454545452,4.254545454545455,13.799999999999997,13.799999999999997
FL,St. Petersburg,1263000,244769,27.792894971,-82.66507432,694,72,96.71261474609379,98.38036132812505,100.9070739746094,1.6677465820312563,4.194459228515612,0.8181818181818181,7.645454545454546,48.55454545454545,48.55454545454545,6.827272727272728,47.73636363636363,47.73636363636363
CA,Chula Vista,613392,243916,32.6282964262,-117.0100424,145,149,98.64682922363286,101.14835021972661,105.18419433593753,2.5015209960937455,6.53736511230467,0.43636363636363634,0.9727272727272727,2.5272727272727273,2.5272727272727273,0.5363636363636364,2.090909090909091,2.090909090909091
VA,Norfolk,5157000,242803,36.893286300599996,-76.25671578,797,217,101.61151733398441,104.7196099853516,108.24142578125004,3.108092651367187,6.629908447265635,5.581818181818181,14.036363636363635,28.47272727272727,28.47272727272727,8.454545454545453,22.890909090909087,22.890909090909087
FL,Orlando,1253000,238300,28.480064677099996,-81.34524112,715,83,99.77171386718753,102.55026611328128,105.04365722656254,2.778552246093753,5.271943359375015,6.736363636363637,26.345454545454544,80.25454545454545,80.25454545454545,19.609090909090906,73.51818181818182,73.51818181818182
AZ,Chandler,412000,236123,33.28318981,-111.85221,227,160,115.67008422851566,118.81240478515629,121.7591137695313,3.1423205566406267,6.089029541015634,133.10909090909092,150.6818181818182,166.78181818181818,166.78181818181818,17.572727272727263,33.67272727272726,33.67272727272726
TX,Laredo,4841464,236091,27.548257247499997,-99.48677973,425,68,112.68714233398441,114.72624328613287,118.64258911132818,2.039100952148459,5.9554467773437665,111.41818181818182,136.73636363636365,168.73636363636365,168.73636363636365,25.318181818181827,57.31818181818183,57.31818181818183
