StateAbbr,PlaceName,PlaceFIPS,Population2010,Lat,Long,long_num,lat_num,Temp1990,Temp2020,Temp2050,Temp_Change_2020,Temp_Change_2050,Num_Above_1990,Num_Above_2020,Num_Above_2050,Num_Above_2080,Num_Above_Change_2020,Num_Above_Change_2050,Num_Above_Change_2080,geometry
MI,Detroit,2622000,713777,42.38470156309999,-83.10531788,687,305,99.36731811523441,103.13104187011723,105.95960937500004,3.763723754882818,6.592291259765631,1.1090909090909093,6.054545454545453,15.59090909090909,15.59090909090909,4.9454545454545435,14.48181818181818,14.48181818181818,"c(-83.10531788, 42.3847015631)"
TN,Memphis,4748000,646889,35.10462950419999,-89.97890609,577,189,104.60975219726565,108.41674560546878,111.51815307617191,3.8069934082031267,6.908400878906264,12.918181818181818,38.39090909090909,68.57272727272728,68.57272727272728,25.472727272727273,55.654545454545456,55.654545454545456,"c(-89.97890609, 35.1046295042)"
MA,Boston,2507000,617594,42.31557967769999,-71.09165058,880,304,100.75216125488285,102.08361633300785,105.03479125976567,1.3314550781250034,4.282630004882819,1.9,3.2909090909090915,8.463636363636365,8.463636363636365,1.3909090909090915,6.563636363636364,6.563636363636364,"c(-71.09165058, 42.3155796777)"
WA,Seattle,5363000,608660,47.622154338000016,-122.3235325,60,389,99.12313049316411,101.88498352050784,102.17006774902349,2.761853027343733,3.046937255859376,0.309090909090909,0.7363636363636364,1.927272727272727,1.927272727272727,0.4272727272727274,1.618181818181818,1.618181818181818,"c(-122.3235325, 47.622154338)"
TN,Nashville,4752006,601222,36.171222990400004,-86.78459448,628,206,103.91901428222658,107.89969055175786,112.65605651855473,3.9806762695312727,8.73704223632815,7.981818181818182,26.109090909090906,56.163636363636364,56.163636363636364,18.127272727272725,48.18181818181818,48.18181818181818,"c(-86.78459448, 36.1712229904)"
CO,Denver,820000,600158,39.76202837430001,-104.8763653,339,263,102.59761718750003,105.4738433837891,110.23727905273441,2.8762261962890676,7.639661865234373,6.209090909090909,16.945454545454545,40.463636363636354,40.463636363636354,10.736363636363636,34.25454545454544,34.25454545454544,"c(-104.8763653, 39.7620283743)"
WI,Milwaukee,5553000,594833,43.06412589250001,-87.96724124,610,316,101.17984802246096,105.01226928710942,107.5994506835938,3.8324212646484597,6.419602661132842,2.3636363636363638,6.672727272727274,16.381818181818183,16.381818181818183,4.30909090909091,14.01818181818182,14.01818181818182,"c(-87.96724124, 43.0641258925)"
OR,Portland,4159000,583776,45.537180654,-122.6500328,55,356,105.36667175292973,109.68888549804691,109.44464294433598,4.322213745117182,4.077971191406249,3.0272727272727273,5.645454545454545,9.145454545454545,9.145454545454545,2.6181818181818173,6.118181818181817,6.118181818181817,"c(-122.6500328, 45.537180654)"
NV,Las Vegas,3240000,583756,36.227414843800005,-115.2626701,173,207,116.26132446289066,118.47450378417975,121.26525634765628,2.21317932128909,5.0039318847656205,107.03636363636365,121.05454545454545,141.24545454545455,141.24545454545455,14.018181818181802,34.209090909090904,34.209090909090904,"c(-115.2626701, 36.2274148438)"
OK,Oklahoma City,4055000,579999,35.467564288,-97.51376155,457,194,109.10701660156253,111.41216796875003,115.08139831542974,2.3051513671874915,5.974381713867203,33.018181818181816,52.53636363636364,78.87272727272727,78.87272727272727,19.518181818181823,45.85454545454546,45.85454545454546,"c(-97.51376155, 35.467564288)"
NM,Albuquerque,3502000,545852,35.105502577100005,-106.6474477,311,189,103.44479492187504,106.08018981933597,109.4591394042969,2.6353948974609267,6.014344482421862,16.063636363636363,32.79090909090909,60.972727272727276,60.972727272727276,16.727272727272727,44.909090909090914,44.909090909090914,"c(-106.6474477, 35.1055025771)"
